arbitration_id,AID_HEX,Name,#signals,#messages,#uniq_data,interval_mean,interval_std,uniq_DLC
66,042,DATC12,7,1967,1,1,0.000261,[8]
67,043,DATC13,24,1967,1,1,0.00026,[8]
68,044,DATC11,6,2084,11,0.94,0.208006,[8]
127,07F,CGW5,25,1963,1,1,0.000115,[8]
128,080,EMS_DCT11,10,196211,129515,0.01,0.00034,[8]
129,081,EMS_DCT12,6,196211,1742,0.01,0.000378,[8]
273,111,TCU11,13,196187,578,0.01,0.000181,[8]
274,112,TCU12,12,196187,6451,0.01,0.000188,[8]
275,113,TCU13,18,196187,586,0.01,0.000188,[8]
339,153,TCS11,29,196207,15,0.01,0.000183,[8]
354,162,TCU_DCT13,3,196187,9151,0.01,0.000192,[3]
356,164,VSM11,6,196208,16,0.01,0.000178,[4]
399,18F,EMS_H12,21,196211,4364,0.01,0.000468,[8]
512,200,EMS20,3,196211,327,0.01,0.000399,[6]
544,220,ESP12,14,196207,191660,0.01,0.000273,[8]
593,251,MDPS12,11,196180,154750,0.01,0.000272,[8]
608,260,EMS16,15,196211,56977,0.01,0.000703,[8]
688,2B0,SAS11,5,196180,22640,0.01,0.000597,[5]
790,316,EMS11,13,196211,81572,0.01,0.000874,[8]
809,329,EMS12,19,196211,8864,0.01,0.000392,[8]
897,381,MDPS11,13,98093,39383,0.02,0.000461,[8]
899,383,FATC11,19,98336,272,0.02,0.000398,[8]
902,386,WHL_SPD11,8,98104,78198,0.02,0.0005,[8]
903,387,WHL_PUL11,9,98104,77624,0.02,0.00042,[6]
1040,410,CGW_USM1,17,9814,1,0.2,0.000519,[8]
1078,436,PAS11,12,39256,1,0.05,0.000648,[4]
1151,47F,ESP11,11,98104,256,0.02,0.000347,[6]
1168,490,EPB11,14,39242,1,0.05,0.000562,[7]
1170,492,EMS19,13,39242,4,0.05,0.000507,[8]
1265,4F1,CLU11,12,98131,19206,0.02,0.000457,[4]
1280,500,ACU14,3,19650,1,0.1,0.000515,[1]
1282,502,TCU14,7,19618,2,0.1,0.000386,[4]
1287,507,TCS15,11,19621,1,0.1,0.000562,[4]
1292,50C,CLU13,17,19626,608,0.1,0.000474,[8]
1312,520,CGW3,4,19628,1,0.1,0.000826,[8]
1314,522,GW_IPM_PE_1,10,9816,2,0.2,0.002416,[8]
1322,52A,CLU15,15,17942,95,0.11,0.077069,[8]
1331,533,[N/A],[N/A],19626,37,0.1,0.000638,[8]
1332,534,[N/A],[N/A],19626,792,0.1,0.000645,[8]
1333,535,[N/A],[N/A],19626,1556,0.1,0.000682,[8]
1345,541,CGW1,43,20485,5,0.1,0.015296,[8]
1348,544,[N/A],[N/A],9813,1,0.2,0.000448,[8]
1349,545,EMS14,8,19621,274,0.1,0.00054,[8]
1351,547,EMS15,12,19621,65,0.1,0.000554,[8]
1353,549,BAT11,9,19621,9571,0.1,0.000388,[8]
1356,54C,TCU_DCT14,2,9809,1,0.2,0.000327,[8]
1363,553,CGW2,41,9874,6,0.2,0.013349,[8]
1365,555,FPCM11,9,19650,1077,0.1,0.000507,[8]
1366,556,EngFrzFrm11,6,19621,15829,0.1,0.000591,[8]
1367,557,EngFrzFrm12,6,19621,7044,0.1,0.000595,[8]
1369,559,CGW4,23,9815,1,0.2,0.000613,[8]
1407,57F,HU_MON_PE_01,1,981,1,2,0.000906,[8]
1415,587,TMU11,8,9809,15,0.2,0.000339,[8]
1419,58B,LCA11,18,19619,11,0.1,0.000935,[8]
1427,593,TPMS11,12,9810,6,0.2,0.000395,[6]
1440,5A0,ACU11,14,1965,2,1,0.001122,[8]
1456,5B0,CLU12,1,1963,189,1,0.000842,[4]
1460,5B4,[N/A],[N/A],1963,1,1,0.000849,[8]
1470,5BE,[N/A],[N/A],1963,1,1,0.000844,[8]
1472,5C0,GW_Warning_PE,7,1963,1,1,0.000731,[8]
1491,5D3,HU_DATC_PE_00,3,1963,1,1,0.000845,[8]
1530,5FA,ODS11,10,1960,1,1,0.00098,[8]
2016,7E0,[N/A],[N/A],2,2,5.43,0,[8]
2024,7E8,[N/A],[N/A],4,3,1.8,2.22289,[8]
